,position,user,first_genre,genre_label,track_name,track_id,artist,duration_ms,gender,age,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
3550,11,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Another Love,3JvKfv6T31zO0ini8iNItO,Tom Odell,244360,F,20,0.9217683429719311,0.9781192238099743,-0.7046564106656468,-0.11732638641698756,-0.5284344550127733,-0.5619159942924328,0.11039634214449437,-0.5235636901911542,0.00905999786131587,-1.275579756188083,4.0,0.0
3551,12,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,187520,F,20,0.9217683429719311,-0.8821807222163717,-0.48109128253099737,1.0933671190834389,-0.5284811330426685,2.3682713899625805,0.6333670290980624,-0.49134277448892966,-0.41509423165436854,-0.9522004826592453,6.0,0.0
3552,13,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,What I've Done,18lR4BzEs7e3qzc0KVkTpU,Linkin Park,205226,F,20,0.7251362773806354,-0.8669264079381392,0.24159599213682298,1.32968867421115,-0.5284811330426685,-0.1663106133586195,0.5495136661335727,-0.6401727184468244,-0.0803674946497883,-0.6449901728068494,5.0,1.0
3553,14,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,ZITTI E BUONI,776AftMmFFAWUIEAb3lHhw,Måneskin,194786,F,20,-0.12693600684831272,-0.8879649860079413,0.23119761408404857,1.3442315391420858,-0.5284811330426685,1.9170104991635533,0.7620945733907509,-0.11082910333884813,-0.6513738934141888,0.7980898353155894,4.0,0.0
3554,15,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,202333,F,20,0.7906802992444006,-0.7673832636181038,0.7979092179602529,0.24624523685641375,-0.528416349595117,-0.819134702047878,0.45387030378526655,1.0261089221539355,1.586083930048165,0.8142587989920314,4.0,0.0
3555,16,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Monster,5XQNN3cHwYRzPv08CHuQNZ,Skillet,178013,F,20,-0.5202001380309041,-0.7757233648989718,0.3091854494798566,1.409674431331298,-0.5284811330426685,-0.6784917244155146,0.8558130378804748,-0.00035739235979223517,0.4173798488001363,0.9921173994328918,8.0,1.0
3556,17,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,HONEY (ARE U COMING?),5UHHuxxYFnuE5KBbpl4Hzu,Måneskin,167276,F,20,-0.19248002871207795,-0.8864045799618434,-0.5434815508476438,1.3478672553748197,-0.5284770310339808,-0.2114367024385222,0.8542490583703767,0.09937401338518889,0.5842421293727791,-0.3013996946824592,7.0,0.0
3557,18,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,163253,F,20,0.6595922555168702,-0.7794898622516216,1.1462548827281953,0.8206884016283881,-0.5281614592621737,-0.7326430313113979,0.5214823410679684,-0.3639934409991846,-1.4521458108529905,1.2427363364177413,1.0,0.0
3558,19,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Lose Control,17phhZDn6oGtzMe56NuWvj,Teddy Swims,210688,F,20,0.9873123648356963,-0.35629698112887703,-0.1015504836047317,0.12626660117619118,-0.5284273825840013,-0.48971425176458855,0.6064184590779107,-0.6202264372978282,1.2501211761504536,-0.8268910141668206,9.0,1.0
3559,20,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Freaks,7EkWXAI1wn8Ii883ecd9xr,Surf Curse,147062,F,20,0.6595922555168702,-0.8915743666138807,-1.2245753133043666,1.3515029716075537,1.262257832029886,-0.887575937152397,-0.05634793485519386,-0.4222979551270197,1.908417092259462,-0.15992126251359276,9.0,1.0
3560,21,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Fairytale,6NgYIETQ8U72CVfkzYhK30,Alexander Rybak,183093,F,20,-0.3235680724396084,0.27593650306594164,0.028429242054947738,0.5261953867769327,-0.5284282312754539,1.1348249551119074,0.36520469617432116,-0.7214921723619628,-0.4855137887008413,0.5919355484409551,2.0,0.0
3561,22,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Insane,5flerg6aEao2VayZezVlgu,"Black Gryph0n, Baasik",159714,F,20,0.20078410247051348,-0.37243911264023416,0.7043238154852833,0.5189239543114647,-0.5284811330426685,4.917895422977081,0.43594469247721923,1.0721388017285423,-0.5879027556588291,1.4165526959394918,4.0,0.0
3562,23,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Toxicity,0snQkGI5qnAmohLE7jTsTn,System Of A Down,218933,F,20,0.7251362773806354,-0.8909674224690537,-0.8710304595100372,1.104274267781641,-0.521436993985748,0.2623872329004558,0.6374574370475496,-0.31489490278627086,-0.1943482957136232,0.13516232458147176,8.0,1.0
3563,24,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,THE LONELIEST,7exHT4swWOKL5addPeqkLP,Måneskin,247067,F,20,-0.19248002871207795,-0.8876152398251952,-0.28872128855467094,0.1080880200125211,-0.5284811330426685,-0.6987984645014709,0.535197238310367,-0.7061488791704272,0.24530625375915951,-0.8915668688725882,2.0,1.0
3564,25,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,Panic! At The Disco,208706,F,20,0.33187214619804395,-0.8843599099704048,-0.38750588005602776,0.9006741587485361,-0.5284811330426685,-0.9063784742690231,0.5291819325022974,-0.6232950959361353,-0.4191029350915493,0.24026058847834414,11.0,0.0
3565,26,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Heathens,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,195920,F,20,0.5940482336531049,-0.6654187995713651,0.7875108399074785,-0.6299623752324836,-0.5283798558626533,-0.4821932369179381,0.012226551356798992,-0.6984772325746594,-1.0848149525593414,0.41003470708098416,4.0,0.0
3566,27,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,New Disease,5xqi4X6J5PHwndSJc7YLYH,Spineshank,194733,F,20,-1.3067284003960868,-0.8915213666154184,-0.07555453847279628,1.2351600521600656,-0.5277625742794325,-0.5340882393598261,0.6334873352142237,-0.15992764155176178,-0.01776490930581805,-0.6934970638361749,7.0,1.0
3567,28,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,All Over Me,1Pr4ZFk19p1zVaY1012ECL,Drowning Pool,192600,F,20,-1.3722724222598521,-0.8915377777824549,0.14281140063546616,1.3696815527712238,-0.5252843952377207,0.961841613638947,0.7095208006282231,0.2727532264495404,-0.05397686368834913,-0.3741600312264478,4.0,0.0
3568,29,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,System Of A Down,210240,F,20,0.7906802992444006,-0.8909297574955272,-0.8502337034044883,1.326052957978416,-0.5242376757794635,-0.27912583605837604,0.6666918232747677,0.6885564719401537,0.15260498677435788,-0.6449901728068494,7.0,0.0
3569,30,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,I See Red,5MAK1nd8R6PWnle1Q1WJvh,Everybody Loves an Outlaw,230613,F,20,0.13524008060674825,-0.8724954433095573,-0.37190831297686616,-0.4409051311303149,-0.48972422337206195,0.5632278267664736,0.2282963359826579,-0.5895398509147571,1.149536125739197,-0.9117780734681405,4.0,0.0
3570,31,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,MAMMAMIA,7oJ3Nb3LIY1ond1fHF3xio,Måneskin,186809,F,20,-0.3891120943033736,-0.8900096559993798,0.9746816448574177,0.3880381699330404,-0.5284811330426685,-0.5461218631144669,0.7426049825726055,-0.16606495882837619,0.6535926988360032,1.4327216596159338,1.0,0.0
3571,32,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,240400,F,20,1.183944430426992,-0.7585050912868575,0.16360815674101498,0.8643169964211963,-0.47840833733684834,-0.5122772963045398,0.7987879388199753,-0.6217607666169818,0.05195312463914805,-0.19630143078558684,10.0,1.0
3572,33,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,Evanescence,235893,F,20,0.9217683429719311,-0.872280214889406,-1.2973639596737871,1.3587744040730219,-0.5284753053613604,0.5481857970731727,0.7533122269109693,-0.06633355308339504,-0.9315488578111365,-0.6086100045348551,4.0,0.0
3573,34,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,One Step Closer,3K4HG9evC7dg3N0R9cYqk4,Linkin Park,157333,F,20,0.6595922555168702,-0.8879111789029034,-0.4602945264254486,1.4533030261241062,-0.5284773988002769,-0.6799959273848447,0.6052153979162969,-0.3839397221481809,-0.9140441861354479,0.36961229788987937,9.0,1.0
3574,35,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,BABY SAID,2KReCz1L5XkGIBhDncQ5VZ,Måneskin,164682,F,20,-0.12693600684831272,-0.8890357473981947,0.21560004700488697,0.5298311030096667,-0.5284811330426685,-0.6732270140228593,0.6508114159414641,-0.641707047765978,0.28442451813364666,0.6485269213085018,6.0,0.0
